Neighborhood,group_sic_code_name_ext,group_sic_code,count
Albany Park,(All) Auto Dealers,551102.0,1
Albany Park,(All) Dentists,802101.0,7
Albany Park,(All) Doctors,801101.0,14
Albany Park,(All) Insurance,641112.0,6
Albany Park,(All) Restaurants,581208.0,31
Albany Park,Advertising Marketing,731115.0,5
Albany Park,Apartments,651303.0,1
Albany Park,Auto Body Shops,753201.0,6
Albany Park,Auto Rental,751401.0,1
Albany Park,Automobile Accessories,553129.0,1
Albany Park,Bakers Cake & Pie,546103.0,7
Albany Park,Banks,602101.0,4
Albany Park,Barbers,724101.0,2
Albany Park,Bars,581301.0,1
Albany Park,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,22
Albany Park,Business Services NEC,738999.0,6
Albany Park,Cafes,581214.0,5
Albany Park,Car Service,411904.0,9
Albany Park,Car Washes,754201.0,2
Albany Park,Caterers,581212.0,1
Albany Park,Cell Phones,599902.0,15
Albany Park,Chinaware & Glassware Retail,571921.0,1
Albany Park,Church Organizations,866104.0,9
Albany Park,Cigar Cigarette & Tobacco Dealers-Wholesale,519402.0,1
Albany Park,Clothing Retail,565101.0,6
Albany Park,Clubs,864108.0,1
Albany Park,Colleges & Universities,822101.0,1
Albany Park,Community Organizations,864110.0,1
Albany Park,Computer Parts & Supplies,573402.0,2
Albany Park,Computer Services,737101.0,1
Albany Park,Condominiums,651301.0,1
Albany Park,Construction Building Contractors,152130.0,6
Albany Park,Construction Materials NEC (Wholesale),503999.0,4
Albany Park,Convenience Stores,541103.0,1
Albany Park,Currency Exchanges,609901.0,5
Albany Park,Curtains Shower & Bath Wholesale,502332.0,1
Albany Park,Day Care,835101.0,7
Albany Park,Delivery Service,421205.0,3
Albany Park,Department Stores,531102.0,7
Albany Park,Distribution Services,731908.0,5
Albany Park,Doughnuts,546105.0,1
Albany Park,Dry Cleaners,721201.0,1
Albany Park,Dvd Sales & Service,573132.0,1
Albany Park,Electric Equipment & Supplies Retail,521135.0,1
Albany Park,Electronic Equipment & Supplies Retail,573117.0,3
Albany Park,Flooring,175203.0,2
Albany Park,Florists,599201.0,1
Albany Park,Food Markets,541101.0,3
Albany Park,Furniture Stores,571216.0,6
Albany Park,Garden Centers,526104.0,1
Albany Park,Gas Stations,554101.0,2
Albany Park,Gift Shops,594712.0,3
Albany Park,Government Pension Health/Welfare Funds,637104.0,6
Albany Park,Grills Barbecue,572233.0,1
Albany Park,Grocers Health Foods,541108.0,2
Albany Park,Grocery Stores,541105.0,13
Albany Park,Hardware Stores,525104.0,1
Albany Park,Health Clubs & Gyms,799101.0,1
Albany Park,Home Centers,521138.0,1
Albany Park,Homes Personal Care Facility,805911.0,3
Albany Park,Hotels & Motels,701101.0,1
Albany Park,House Cleaning,734922.0,2
Albany Park,Ice Cream Parlors,581203.0,1
Albany Park,Investments,621111.0,3
Albany Park,Jewelers,594409.0,7
Albany Park,Laundry & Garment Services NEC,721999.0,7
Albany Park,Legal Services,811198.0,4
Albany Park,Manicurists,723102.0,1
Albany Park,Manufacturers,399903.0,1
Albany Park,Medical Supplies,504704.0,3
Albany Park,Motorcycle Repair & Service,769967.0,1
Albany Park,Musical Instruments,573608.0,2
Albany Park,News Service,738301.0,2
Albany Park,Nursing & Personal Care NEC,805999.0,11
Albany Park,Office Equipment (Wholesale),504498.0,3
Albany Park,Parking Garages,752102.0,1
Albany Park,Parks,799951.0,3
