SIC Code,Description
13901,Agricultural Products
19101,Farms
74220,Veterinarians Dvm Vmd Public Health
75203,Animal Shelters
75210,Pet Services
97101,Hunting & Fishing Preserves
97106,Wildlife Conservation
149901,Mining Companies
152130,Construction Building Contractors
154235,Buildings Factory
175203,Flooring
203301,Preserves (Manufacturers)
208401,Wineries
274105,Publishers
371102,Automobile Manufacturers
399903,Manufacturers
401190,Train Stations
411101,Airport Transportation Service
411902,Ambulance Service
411904,Car Service
411906,Rescue Squads
411914,Transportation Services
412101,Taxis
413101,Bus Lines
414201,Buses Charter & Rental
421205,Delivery Service
421401,Moving Services
431101,Post Offices
448290,Ferry Terminals
449306,Marinas
449903,Boat Launching
451201,Airline Companies
458106,Airports
472401,Tourist Information
472402,Travel Agents
478502,Scales Public
481302,Telecommunications Services
481304,Telephone Companies
491101,Electric Companies
501209,Buses-New & Used (Wholesale)
501210,Recreational Vehicles Wholesale
501227,Snowmobiles Wholesale & Distributors
502332,Curtains Shower & Bath Wholesale
503999,Construction Materials NEC (Wholesale)
504403,Copiers
504498,Office Equipment (Wholesale)
504704,Medical Supplies
506304,Security Control Equipment & Systems-Wholesale
508702,Beauty Salons-Equipment & Supplies (Wholesale)
509312,Recycling Centers (Wholesale)
512203,Pharmaceutical Products Wholesale
514701,Butchering (Wholesale)
516916,Chemicals (Wholesale)
519402,Cigar Cigarette & Tobacco Dealers-Wholesale
521107,Windows
521135,Electric Equipment & Supplies Retail
521138,Home Centers
523107,Paint Stores
525104,Hardware Stores
526104,Garden Centers
531102,Department Stores
531104,Retail Shops
531110,Wholesale Clubs
533101,Variety Stores
541101,Food Markets
541103,Convenience Stores
541105,Grocery Stores
541108,Grocers Health Foods
542101,Seafood Markets
543102,Farm Markets
546103,Bakers Cake & Pie
546105,Doughnuts
549910,Food Specialties Retail
549999,Miscellaneous Food Stores
551102,All) Auto Dealers
551105,Truck Dealers-New
551108,Vans Dealers
553129,Automobile Accessories
554101,Gas Stations
554103,Truck Stops & Plazas
554112,Electric Charging Station
555103,Boat Equipment & Supplies
555104,Boat Dealers
555107,Yachts
557101,All Terrain Vehicles
557106,Motorcycle Dealers
564103,Children's Clothing
565101,Clothing Retail
566112,Rubber & Plastic Footwear Retail
569913,Sportswear
569919,Tailors
571216,Furniture Stores
571921,Chinaware & Glassware Retail
571926,Lighting Stores
571928,Kitchen Accessories
572233,Grills Barbecue
573117,Electronic Equipment & Supplies Retail
573122,Marine Electronic Equipment & Supplies Retail
573132,Dvd Sales & Service
573401,Computer Software
573402,Computer Parts & Supplies
573608,Musical Instruments
581203,Ice Cream Parlors
581206,Foods Carry Out
581208,All) Restaurants
581209,Delicatessens
581212,Caterers
581213,Cafeterias
581214,Cafes
581217,Appetizers & Snacks Etc
581219,Subs & Sandwiches
581223,Banquet Rooms
581226,Theatres Dinner
581228,Coffee Shops
581236,Tea Rooms
581248,Juice Bars
581254,Restaurants Cyber Cafes
581301,Bars
581302,Discotheques
581303,Cocktail Lounges
581305,Pubs
581307,Comedy Clubs
581309,Karaoke Clubs
591205,Pharmacies
592103,Wines Retail
593218,Flea Markets
593229,Pawn Shops
594142,Bicycle Racks & Security Systems
594201,Book Stores
594409,Jewelers
594508,Hobby & Model Shops
594517,Toy Stores
594712,Gift Shops
599201,Florists
599504,Opticians
599902,Cell Phones
599929,Pet Supplies
599931,Factory Outlets
599940,Wedding Supplies & Services
599969,Art Galleries & Dealers
599972,Monuments
602101,Banks
609901,Currency Exchanges
621111,Investments
623102,Stock Exchanges
628205,Financial Planners
637104,Government Pension Health/Welfare Funds
641112,All) Insurance
651201,Shopping Centers & Malls
651301,Condominiums
651303,Apartments
651401,Townhouses
653118,Real Estate Agents
653123,Housing Rental
655202,Real Estate Developers
701101,Hotels & Motels
701106,Cottages & Cabins
701107,Bed & Breakfasts
701108,Chalet & Cabin Rentals
701110,Skiing Centers & Resorts
701111,Resorts
701116,Villas
702103,Hostels
703208,Adventure Games & Activities
703301,Campgrounds
721201,Dry Cleaners
721999,Laundry & Garment Services NEC
722121,Photography
723102,Manicurists
724101,Barbers
726103,Funeral Homes
729101,Tax Return Preparation & Filing
731115,Advertising Marketing
731908,Distribution Services
734922,House Cleaning
735922,Toilets Portable
735999,Misc Equipment Rental & Leasing
737101,Computer Services
738114,Traffic Control Services
738301,News Service
738409,Photo Laboratories Commercial
738931,Convention & Meeting Facilities & Service
738999,Business Services NEC
751401,Auto Rental
752102,Parking Garages
753201,Auto Body Shops
753402,Tire Service
753698,Glass Replacement Shops
753812,Truck Repair & Service
754201,Car Washes
762902,Appliances Household Major Repairing
769967,Motorcycle Repair & Service
769999,Repair Shops & Related Services NEC
783201,Movie Theatres
783301,Movie Theatres (drive-Ins)
784102,Video & DVD Rental
792207,Theatres Live
792213,Concert Venues
792905,Entertainment Bureaus
793301,Bowling Centers
794104,Stadiums Arenas & Athletic Fields
794801,Race Tracks
794803,Horse Racing
799101,Health Clubs & Gyms
799290,Golf Courses-Public Or Private
799302,Casinos
799303,Arcades
799601,Amusement Places
799602,Water Parks
799604,Amusement Parks
799701,Recreation Centers
799705,Hockey Clubs
799712,Flying Clubs
799714,Beach & Cabana Clubs
799729,Sports Recreational
799901,Skating Rinks
799909,Bicycles Renting
799910,Baths Bath Houses Spas & Saunas
799912,Billiard Parlors
799923,Fairgrounds
799940,Historical Places
799951,Parks
799954,Picnic Grounds
799968,Horseback Riding
799969,Swimming Pools Public
799971,Tennis Courts Public
799984,Squash Courts Public
801101,All) Doctors
802101,All) Dentists
805904,Retirement Communities & Homes
805911,Homes Personal Care Facility
805999,Nursing & Personal Care NEC
806202,Hospitals
806203,Emergency Medical & Surgical Service
806998,Specialty Hospitals Except Psychiatric
809916,Blood Banks & Centers
811198,Legal Services
821103  Schools (K-12,Schools (K-12)
821107,Schools With Special Academic Education
821115,Technical Schools
822101,Colleges & Universities
822298,Junior Colleges & Technical Institutes
823106,Libraries
824999,Vocational Schools NEC
829902,Driving Instruction
829912,Language Schools
829919,Art Schools
829924,Culinary Schools
829950,Hiking Backpacking & Mountaineering Service
829975,Sports Tutoring
832268,Soup Kitchens
835101,Day Care
835102,Preschools
836105,Residential Care Homes
841201,Museums
841204,Planetariums
841206,Cultural Centres
841211,National Monuments
842201,Zoos
842203,Arboretums
842205,Aquariums Public
861112,Motoring Organisations
864108,Clubs
864110,Community Organizations
866104,Church Organizations
866107,All) Places Of Worship
866112,Synagogues
866114,Mosques
866116,Ashrams
869921,Dance Clubs
871147,Engineering
873101,Research Labs
873122,Laboratories Agricultural
873306,Observatories
874838,Industrial Developments
901006,Beach
901010,Cave
901014,Forest
901023,Ridge
901027,Valley
902101,Bay
902208,Rapids
