SIC Code,Description
208401,Wineries
411914,Transportation Services
412101,Taxis
541101,Food Markets
541103,Convenience Stores
541105,Grocery Stores
541108,Grocers Health Foods
542101,Seafood Markets
543102,Farm Markets
546103,Bakers Cake & Pie
546105,Doughnuts
549999,Miscellaneous Food Stores
554112,Electric Charging Station
564103,Children's Clothing
565101,Clothing Retail
566112,Rubber & Plastic Footwear Retail
569913,Sportswear
581203,Ice Cream Parlors
581206,Foods Carry Out
581208,All) Restaurants
581209,Delicatessens
581213,Cafeterias
581214,Cafes
581217,Appetizers & Snacks Etc
581219,Subs & Sandwiches
581226,Theatres Dinner
581228,Coffee Shops
581236,Tea Rooms
581248,Juice Bars
581254,Restaurants Cyber Cafes
581301,Bars
581302,Discotheques
581303,Cocktail Lounges
581305,Pubs
581307,Comedy Clubs
581309,Karaoke Clubs
591205,Pharmacies
592103,Wines Retail
593218,Flea Markets
594201,Book Stores
594517,Toy Stores
594712,Gift Shops
599969,Art Galleries & Dealers
599972,Monuments
651201,Shopping Centers & Malls
701101,Hotels & Motels
701106,Cottages & Cabins
701107,Bed & Breakfasts
701108,Chalet & Cabin Rentals
701110,Skiing Centers & Resorts
701111,Resorts
701116,Villas
702103,Hostels
703208,Adventure Games & Activities
703301,Campgrounds
723102,Manicurists
724101,Barbers
783201,Movie Theatres
783301,Movie Theatres (drive-Ins)
792207,Theatres Live
792213,Concert Venues
792905,Entertainment Bureaus
793301,Bowling Centers
794104,Stadiums Arenas & Athletic Fields
794801,Race Tracks
794803,Horse Racing
799101,Health Clubs & Gyms
799290,Golf Courses-Public Or Private
799302,Casinos
799303,Arcades
799601,Amusement Places
799602,Water Parks
799604,Amusement Parks
799701,Recreation Centers
799705,Hockey Clubs
799712,Flying Clubs
799714,Beach & Cabana Clubs
799729,Sports Recreational
799901,Skating Rinks
799909,Bicycles Renting
799910,Baths Bath Houses Spas & Saunas
799912,Billiard Parlors
799923,Fairgrounds
799940,Historical Places
799951,Parks
799954,Picnic Grounds
799968,Horseback Riding
799969,Swimming Pools Public
799971,Tennis Courts Public
799984,Squash Courts Public
822101,Colleges & Universities
829950,Hiking Backpacking & Mountaineering Service
841201,Museums
841204,Planetariums
841206,Cultural Centres
841211,National Monuments
842201,Zoos
842203,Arboretums
842205,Aquariums Public
861112,Motoring Organisations
864108,Clubs
864110,Community Organizations
866107,All) Places Of Worship
869921,Dance Clubs
901006,Beach
901010,Cave
901014,Forest
901023,Ridge
901027,Valley
902101,Bay
902208,Rapids
902209,Reservoir
902212,Swamp
903001,Bridge
903002,Building
903005,Dam
903010,Tower
999333,Tourist Attractions
