Neighborhood,group_sic_code_name_ext,group_sic_code,count
Adams Morgan,(All) Dentists,802101.0,7
Adams Morgan,(All) Doctors,801101.0,8
Adams Morgan,(All) Insurance,641112.0,1
Adams Morgan,(All) Places Of Worship,866107.0,2
Adams Morgan,(All) Restaurants,581208.0,52
Adams Morgan,Advertising Marketing,731115.0,15
Adams Morgan,Amusement Places,799601.0,1
Adams Morgan,Animal Shelters,75203.0,1
Adams Morgan,Apartments,651303.0,1
Adams Morgan,Art Galleries & Dealers,599969.0,1
Adams Morgan,Auto Rental,751401.0,1
Adams Morgan,Bakers Cake & Pie,546103.0,2
Adams Morgan,Banks,602101.0,9
Adams Morgan,Barbers,724101.0,4
Adams Morgan,Bars,581301.0,8
Adams Morgan,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,14
Adams Morgan,Bed & Breakfasts,701107.0,2
Adams Morgan,Billiard Parlors,799912.0,1
Adams Morgan,Book Stores,594201.0,1
Adams Morgan,Business Services NEC,738999.0,8
Adams Morgan,Cafes,581214.0,14
Adams Morgan,Car Service,411904.0,2
Adams Morgan,Caterers,581212.0,1
Adams Morgan,Cell Phones,599902.0,2
Adams Morgan,Church Organizations,866104.0,11
Adams Morgan,Cigar Cigarette & Tobacco Dealers-Wholesale,519402.0,4
Adams Morgan,City Government Executive Offices,911104.0,5
Adams Morgan,Clothing Retail,565101.0,6
Adams Morgan,Clubs,864108.0,2
Adams Morgan,Cocktail Lounges,581303.0,6
Adams Morgan,Coffee Shops,581228.0,2
Adams Morgan,Colleges & Universities,822101.0,2
Adams Morgan,Community Organizations,864110.0,1
Adams Morgan,Computer Parts & Supplies,573402.0,1
Adams Morgan,Computer Services,737101.0,1
Adams Morgan,Condominiums,651301.0,5
Adams Morgan,Construction Building Contractors,152130.0,8
Adams Morgan,Construction Materials NEC (Wholesale),503999.0,4
Adams Morgan,Convenience Stores,541103.0,5
Adams Morgan,Copiers,504403.0,1
Adams Morgan,Currency Exchanges,609901.0,3
Adams Morgan,Dance Clubs,869921.0,1
Adams Morgan,Day Care,835101.0,5
Adams Morgan,Delicatessens,581209.0,2
Adams Morgan,Delivery Service,421205.0,3
Adams Morgan,Distribution Services,731908.0,1
Adams Morgan,Doughnuts,546105.0,1
Adams Morgan,Dry Cleaners,721201.0,7
Adams Morgan,Dvd Sales & Service,573132.0,2
Adams Morgan,Electronic Equipment & Supplies Retail,573117.0,2
Adams Morgan,Federal Government General Offices,919901.0,3
Adams Morgan,Federal Government International Affairs,972101.0,8
Adams Morgan,Financial Planners,628205.0,3
Adams Morgan,Flooring,175203.0,2
Adams Morgan,Florists,599201.0,1
Adams Morgan,Food Markets,541101.0,4
Adams Morgan,Furniture Stores,571216.0,3
Adams Morgan,Garden Centers,526104.0,1
Adams Morgan,Gas Stations,554101.0,1
Adams Morgan,Gift Shops,594712.0,5
Adams Morgan,Government Pension Health/Welfare Funds,637104.0,5
Adams Morgan,Grills Barbecue,572233.0,2
Adams Morgan,Grocery Stores,541105.0,7
Adams Morgan,Health Clubs & Gyms,799101.0,5
Adams Morgan,Homes Personal Care Facility,805911.0,7
Adams Morgan,Hospitals,806202.0,4
Adams Morgan,Hotels & Motels,701101.0,4
Adams Morgan,House Cleaning,734922.0,4
Adams Morgan,Ice Cream Parlors,581203.0,1
Adams Morgan,Investments,621111.0,2
Adams Morgan,Jewelers,594409.0,4
Adams Morgan,Juice Bars,581248.0,1
Adams Morgan,Legal Services,811198.0,17
Adams Morgan,Manicurists,723102.0,4
Adams Morgan,Museums,841201.0,3
Adams Morgan,Musical Instruments,573608.0,2
Adams Morgan,News Service,738301.0,3
Adams Morgan,Nursing & Personal Care NEC,805999.0,10
Adams Morgan,Office Equipment (Wholesale),504498.0,1
Adams Morgan,Opticians,599504.0,1
Adams Morgan,Parking Garages,752102.0,5
Adams Morgan,Parks,799951.0,1
Adams Morgan,Pharmacies,591205.0,3
Adams Morgan,Photography,722121.0,3
Adams Morgan,Port Services,962105.0,1
Adams Morgan,Post Offices,431101.0,2
Adams Morgan,Preschools,835102.0,1
Adams Morgan,Publishers,274105.0,1
Adams Morgan,Real Estate Agents,653118.0,67
Adams Morgan,Real Estate Developers,655202.0,4
Adams Morgan,Recycling Centers (Wholesale),509312.0,1
Adams Morgan,Research Labs,873101.0,1
Adams Morgan,Retail Shops,531104.0,2
Adams Morgan,Schools (K-12),821103.0,3
Adams Morgan,Sportswear,569913.0,2
Adams Morgan,State Government General Offices,919902.0,3
Adams Morgan,Tax Return Preparation & Filing,729101.0,2
Adams Morgan,Telecommunications Services,481302.0,2
Adams Morgan,Toy Stores,594517.0,1
Adams Morgan,Travel Agents,472402.0,5
Adams Morgan,Veterinarians Dvm Vmd Public Health,74220.0,1
Adams Morgan,Vocational Schools NEC,824999.0,2
Adams Morgan,Wholesale Clubs,531110.0,1
Adams Morgan,Wines Retail,592103.0,5
Anacostia,(All) Auto Dealers,551102.0,1
Anacostia,(All) Dentists,802101.0,3
Anacostia,(All) Doctors,801101.0,8
Anacostia,(All) Places Of Worship,866107.0,7
Anacostia,(All) Restaurants,581208.0,19
Anacostia,Advertising Marketing,731115.0,3
Anacostia,Ambulance Service,411902.0,1
Anacostia,Apartments,651303.0,2
Anacostia,Art Galleries & Dealers,599969.0,1
Anacostia,Bakers Cake & Pie,546103.0,1
Anacostia,Banks,602101.0,8
Anacostia,Barbers,724101.0,6
Anacostia,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,14
Anacostia,Book Stores,594201.0,1
Anacostia,Business Services NEC,738999.0,10
Anacostia,Butchering (Wholesale),514701.0,1
Anacostia,Cafes,581214.0,1
Anacostia,Car Service,411904.0,1
Anacostia,Caterers,581212.0,1
Anacostia,Cell Phones,599902.0,1
Anacostia,Church Organizations,866104.0,35
Anacostia,City Government Executive Offices,911104.0,6
Anacostia,City Government Regulation/Adm Comms/Utilities,963104.0,1
Anacostia,Clothing Retail,565101.0,2
Anacostia,Coffee Shops,581228.0,1
Anacostia,Colleges & Universities,822101.0,1
Anacostia,Community Organizations,864110.0,2
Anacostia,Computer Parts & Supplies,573402.0,4
Anacostia,Computer Services,737101.0,2
Anacostia,Condominiums,651301.0,1
Anacostia,Construction Building Contractors,152130.0,13
Anacostia,Construction Materials NEC (Wholesale),503999.0,1
Anacostia,Convenience Stores,541103.0,1
Anacostia,Copiers,504403.0,2
Anacostia,Currency Exchanges,609901.0,3
Anacostia,Day Care,835101.0,15
Anacostia,Delicatessens,581209.0,1
Anacostia,Department Stores,531102.0,4
Anacostia,Dry Cleaners,721201.0,5
Anacostia,Dvd Sales & Service,573132.0,2
Anacostia,Electric Equipment & Supplies Retail,521135.0,2
Anacostia,Electronic Equipment & Supplies Retail,573117.0,1
Anacostia,Federal Government General Offices,919901.0,2
Anacostia,Flooring,175203.0,1
Anacostia,Food Markets,541101.0,5
Anacostia,Funeral Homes,726103.0,1
Anacostia,Gas Stations,554101.0,3
Anacostia,Government Pension Health/Welfare Funds,637104.0,10
Anacostia,Grocery Stores,541105.0,6
Anacostia,Hardware Stores,525104.0,1
Anacostia,Health Clubs & Gyms,799101.0,3
Anacostia,Homes Personal Care Facility,805911.0,15
Anacostia,Hospitals,806202.0,7
Anacostia,Hotels & Motels,701101.0,2
Anacostia,House Cleaning,734922.0,3
Anacostia,Investments,621111.0,6
Anacostia,Jewelers,594409.0,2
Anacostia,Laundry & Garment Services NEC,721999.0,2
Anacostia,Legal Services,811198.0,1
Anacostia,Libraries,823106.0,3
Anacostia,Manicurists,723102.0,2
Anacostia,Misc Equipment Rental & Leasing,735999.0,1
Anacostia,Monuments,599972.0,1
Anacostia,Museums,841201.0,4
Anacostia,Musical Instruments,573608.0,1
Anacostia,Nursing & Personal Care NEC,805999.0,8
Anacostia,Paint Stores,523107.0,1
Anacostia,Parking Garages,752102.0,2
Anacostia,Parks,799951.0,5
Anacostia,Pharmacies,591205.0,2
Anacostia,Photography,722121.0,1
Anacostia,Post Offices,431101.0,1
Anacostia,Pubs,581305.0,2
Anacostia,Real Estate Agents,653118.0,94
Anacostia,Real Estate Developers,655202.0,2
Anacostia,Recycling Centers (Wholesale),509312.0,1
Anacostia,Retail Shops,531104.0,4
Anacostia,Rubber & Plastic Footwear Retail,566112.0,5
Anacostia,Schools (K-12),821103.0,9
Anacostia,Shopping Centers & Malls,651201.0,1
Anacostia,Sportswear,569913.0,2
Anacostia,Tax Return Preparation & Filing,729101.0,3
Anacostia,Technical Schools,821115.0,1
Anacostia,Telephone Companies,481304.0,2
Anacostia,Tire Service,753402.0,2
Anacostia,Toy Stores,594517.0,1
Anacostia,Train Stations,401190.0,1
Anacostia,Transportation Authorities,962107.0,1
Anacostia,Transportation Services,411914.0,3
Anacostia,Travel Agents,472402.0,1
Anacostia,Truck Repair & Service,753812.0,1
Anacostia,Variety Stores,533101.0,2
Anacostia,Veterinarians Dvm Vmd Public Health,74220.0,1
Anacostia,Vocational Schools NEC,824999.0,1
Anacostia,Wines Retail,592103.0,6
Au-Tenleytown,(All) Dentists,802101.0,25
Au-Tenleytown,(All) Doctors,801101.0,73
Au-Tenleytown,(All) Insurance,641112.0,3
Au-Tenleytown,(All) Places Of Worship,866107.0,4
Au-Tenleytown,(All) Restaurants,581208.0,3
Au-Tenleytown,Advertising Marketing,731115.0,2
Au-Tenleytown,Apartments,651303.0,1
Au-Tenleytown,Art Schools,829919.0,1
Au-Tenleytown,Bakers Cake & Pie,546103.0,1
Au-Tenleytown,Banks,602101.0,8
Au-Tenleytown,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,5
Au-Tenleytown,Book Stores,594201.0,1
Au-Tenleytown,Business Services NEC,738999.0,14
Au-Tenleytown,Cafes,581214.0,1
Au-Tenleytown,Caterers,581212.0,2
Au-Tenleytown,Children's Clothing,564103.0,1
Au-Tenleytown,Church Organizations,866104.0,8
Au-Tenleytown,Cigar Cigarette & Tobacco Dealers-Wholesale,519402.0,1
Au-Tenleytown,City Government Executive Offices,911104.0,1
Au-Tenleytown,Clothing Retail,565101.0,2
Au-Tenleytown,Clubs,864108.0,1
Au-Tenleytown,Coffee Shops,581228.0,2
Au-Tenleytown,Colleges & Universities,822101.0,7
Au-Tenleytown,Community Organizations,864110.0,1
Au-Tenleytown,Computer Services,737101.0,1
Au-Tenleytown,Construction Building Contractors,152130.0,5
Au-Tenleytown,Construction Materials NEC (Wholesale),503999.0,1
Au-Tenleytown,Curtains Shower & Bath Wholesale,502332.0,2
Au-Tenleytown,Delicatessens,581209.0,2
Au-Tenleytown,Delivery Service,421205.0,2
Au-Tenleytown,Dry Cleaners,721201.0,3
Au-Tenleytown,Electric Charging Station,554112.0,1
Au-Tenleytown,Federal Government General Offices,919901.0,3
Au-Tenleytown,Federal Government International Affairs,972101.0,7
Au-Tenleytown,Financial Planners,628205.0,5
Au-Tenleytown,Florists,599201.0,1
Au-Tenleytown,Food Markets,541101.0,3
Au-Tenleytown,Food Specialties Retail,549910.0,1
Au-Tenleytown,Furniture Stores,571216.0,3
Au-Tenleytown,Gas Stations,554101.0,1
Au-Tenleytown,Gift Shops,594712.0,1
Au-Tenleytown,Government Pension Health/Welfare Funds,637104.0,4
Au-Tenleytown,Grocery Stores,541105.0,1
Au-Tenleytown,Health Clubs & Gyms,799101.0,3
Au-Tenleytown,Homes Personal Care Facility,805911.0,8
Au-Tenleytown,Hospitals,806202.0,4
Au-Tenleytown,Hotels & Motels,701101.0,1
Au-Tenleytown,House Cleaning,734922.0,2
Au-Tenleytown,Investments,621111.0,3
Au-Tenleytown,Jewelers,594409.0,1
Au-Tenleytown,Legal Services,811198.0,38
Au-Tenleytown,Miscellaneous Food Stores,549999.0,1
Au-Tenleytown,Museums,841201.0,2
Au-Tenleytown,News Service,738301.0,3
Au-Tenleytown,Nursing & Personal Care NEC,805999.0,14
Au-Tenleytown,Office Equipment (Wholesale),504498.0,1
Au-Tenleytown,Opticians,599504.0,1
Au-Tenleytown,Parking Garages,752102.0,6
Au-Tenleytown,Parks,799951.0,6
Au-Tenleytown,Pharmacies,591205.0,5
Au-Tenleytown,Photo Laboratories Commercial,738409.0,1
Au-Tenleytown,Preschools,835102.0,2
Au-Tenleytown,Publishers,274105.0,3
Au-Tenleytown,Real Estate Agents,653118.0,20
Au-Tenleytown,Real Estate Developers,655202.0,1
Au-Tenleytown,Research Labs,873101.0,1
Au-Tenleytown,Resorts,701111.0,1
Au-Tenleytown,Retail Shops,531104.0,2
Au-Tenleytown,Retirement Communities & Homes,805904.0,1
Au-Tenleytown,Schools (K-12),821103.0,6
Au-Tenleytown,Security Control Equipment & Systems-Wholesale,506304.0,1
Au-Tenleytown,Swimming Pools Public,799969.0,1
Au-Tenleytown,Taxis,412101.0,1
Au-Tenleytown,Telecommunications Services,481302.0,1
Au-Tenleytown,Telephone Companies,481304.0,4
Au-Tenleytown,Travel Agents,472402.0,5
Au-Tenleytown,Veterinarians Dvm Vmd Public Health,74220.0,1
Au-Tenleytown,Vocational Schools NEC,824999.0,2
Au-Tenleytown,Wines Retail,592103.0,1
Barnaby Woods,(All) Dentists,802101.0,4
Barnaby Woods,(All) Doctors,801101.0,12
Barnaby Woods,(All) Insurance,641112.0,2
Barnaby Woods,(All) Places Of Worship,866107.0,2
Barnaby Woods,Advertising Marketing,731115.0,3
Barnaby Woods,Amusement Places,799601.0,2
Barnaby Woods,Art Galleries & Dealers,599969.0,1
Barnaby Woods,Banks,602101.0,1
Barnaby Woods,Business Services NEC,738999.0,7
Barnaby Woods,Cell Phones,599902.0,1
Barnaby Woods,Church Organizations,866104.0,2
Barnaby Woods,Clothing Retail,565101.0,1
Barnaby Woods,Colleges & Universities,822101.0,1
Barnaby Woods,Construction Building Contractors,152130.0,5
Barnaby Woods,Convention & Meeting Facilities & Service,738931.0,1
Barnaby Woods,Day Care,835101.0,1
Barnaby Woods,Distribution Services,731908.0,1
Barnaby Woods,Federal Government International Affairs,972101.0,1
Barnaby Woods,Financial Planners,628205.0,2
Barnaby Woods,Food Markets,541101.0,1
Barnaby Woods,Gift Shops,594712.0,1
Barnaby Woods,Homes Personal Care Facility,805911.0,10
Barnaby Woods,Legal Services,811198.0,12
Barnaby Woods,Museums,841201.0,1
Barnaby Woods,News Service,738301.0,1
Barnaby Woods,Nursing & Personal Care NEC,805999.0,3
Barnaby Woods,Office Equipment (Wholesale),504498.0,1
Barnaby Woods,Parking Garages,752102.0,1
Barnaby Woods,Parks,799951.0,4
Barnaby Woods,Photography,722121.0,1
Barnaby Woods,Real Estate Agents,653118.0,1
Barnaby Woods,Research Labs,873101.0,3
Barnaby Woods,Retail Shops,531104.0,1
Barnaby Woods,Schools (K-12),821103.0,2
Barnaby Woods,Travel Agents,472402.0,1
Barnaby Woods,Vocational Schools NEC,824999.0,1
Barnaby Woods,Wines Retail,592103.0,1
Berkley,(All) Doctors,801101.0,1
Berkley,(All) Insurance,641112.0,1
Berkley,Advertising Marketing,731115.0,3
Berkley,Business Services NEC,738999.0,2
Berkley,Church Organizations,866104.0,2
Berkley,Colleges & Universities,822101.0,1
Berkley,Construction Building Contractors,152130.0,1
Berkley,Federal Government International Affairs,972101.0,2
Berkley,Legal Services,811198.0,4
Berkley,Museums,841201.0,1
Berkley,Photography,722121.0,1
Berkley,Schools (K-12),821103.0,2
